productId,제목,가격,개수,용량(ml),타겟,URL,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%)
11688594234,존바바토스 향수 아티산 오드뚜왈렛 EDT,59000,1,125,남성,https://smartstore.naver.com/main/products/2016291978,4.79,3775.0,71.0,49.0
88468432054,킬리안 엔젤스 쉐어 오드 퍼퓸,275000,1,50,여성,https://smartstore.naver.com/main/products/10923926019,4.93,67.0,80.0,63.0
89070869164,샤넬 알뤼르 옴므 스포츠 오드뚜왈렛,121900,1,100,남성,https://smartstore.naver.com/main/products/11526358758,4.55,11.0,82.0,55.0
86895006540, 불리 이리드말트 퍼퓸  (목욕하는 여인 재출시),159000,1,75,공용,https://smartstore.naver.com/main/products/9350506217,4.94,196.0,78.0,41.0
88283269592, 리뉴얼 2025 NEW 디올 자도르 향수 오드퍼퓸  쟈도르,109700,1,30,여성,https://smartstore.naver.com/main/products/10738763670,5.0,9.0,78.0,78.0
83839261335,버버리 브릿 쉬어 버버리 향수 오드뚜왈렛 EDT,58400,1,100,여성,https://smartstore.naver.com/main/products/6294758846,4.85,355.0,67.0,56.0
80593494218,존바바토스 향수 아티산 오드뚜왈렛 EDT  백화점용 올리브영,51500,1,125,남성,https://smartstore.naver.com/main/products/3095749970,4.74,6912.0,61.0,57.0
13085131147,페라리 향수 라이트 에센스 오드뚜왈렛 EDT,114900,1,125,공용,https://smartstore.naver.com/main/products/2383412799,4.86,1414.0,73.0,50.0
81178301366,몽블랑 향수 레전드 오드뚜왈렛 EDT,48300,1,100,남성,https://smartstore.naver.com/main/products/3633783799,4.77,6441.0,62.0,51.0
81047014920,존바바토스 향수 아티산 퓨어 오드뚜왈렛 EDT,37900,1,75,남성,https://smartstore.naver.com/main/products/3502497724,4.76,1766.0,68.0,56.0
82659293460,유쏘풀 니치향수  세인트모리츠 은은한 20대여성향수,58000,1,50,여성,https://smartstore.naver.com/main/products/5114773138,4.88,7140.0,79.0,51.0
80040305950,르빠 로 겐조 뿌르옴므 오드뚜왈렛 EDT,48900,1,100,남성,https://smartstore.naver.com/main/products/2542562420,4.77,3058.0,64.0,57.0
89275498202,알파무드 알파메일 옴므 퍼퓸 리치앤위스키,39100,1,50,남성,https://smartstore.naver.com/main/products/11730987703,4.64,45.0,54.0,52.0
83855047296,입생로랑 향수 몽파리 오드 빠르펭 EDP,189000,1,90,여성,https://smartstore.naver.com/main/products/6310544807,4.9,282.0,78.0,66.0
11597138751,몽블랑 향수 레전드 오드뚜왈렛 EDT,49800,1,100,남성,https://smartstore.naver.com/main/products/2002276471,4.77,3031.0,64.0,53.0
84645611777,포 허 오 드 퍼퓸 퓨어 머스크 (/50ml),84000,1,30,여성,https://smartstore.naver.com/main/products/7101111455,4.85,233.0,77.0,58.0
86242777501, 블루 드 샤넬 오드 빠르펭 퍼퓸 향수,200800,1,100,남성,https://smartstore.naver.com/main/products/8698277178,4.87,371.0,81.0,67.0
85404055588,메종마르지엘라 레플리카 재즈 클럽 EDT,126500,1,100,공용,https://smartstore.naver.com/main/products/7859555265,4.87,95.0,78.0,65.0
89333061478,포맨트 시그니처 퍼퓸 헬로키티 에디션 코튼메모리 코튼허그,35900,1,50,여성,https://smartstore.naver.com/main/products/11788550891,5.0,2.0,100.0,100.0
85456826569,톰포드 블랙 오키드 오드퍼퓸 EDP,149800,1,50,여성,https://smartstore.naver.com/main/products/7912326246,4.83,42.0,86.0,79.0
83739418380,뭉클 블랑쉬 니치 향수 비누향,11900,1,30,여성,https://smartstore.naver.com/main/products/6194918803,4.79,6153.0,64.0,50.0
84655752044,캘빈클라인 CK BE 향수 오드뚜왈렛 EDT,27400,1,100,공용,https://smartstore.naver.com/main/products/7111251722,4.73,844.0,65.0,50.0
82565345041,딥디크 도손 오드뚜왈렛,196900,1,100,공용,https://smartstore.naver.com/main/products/5020824192,4.84,2037.0,63.0,53.0
83434617187, 톰포드 오드 우드 오드퍼퓸,250000,1,50,공용,https://smartstore.naver.com/main/products/5890117773,4.87,15.0,60.0,67.0
86042739335, 디올 소바쥬 오 드 뚜왈렛 향수,114000,1,60,남성,https://smartstore.naver.com/main/products/8498239012,4.85,156.0,69.0,58.0
83990575973,에르메스 향수 트윌리 데르메스 오 프와브레 오드퍼퓸 EDP,86900,1,50,여성,https://smartstore.naver.com/main/products/6446075640,4.67,48.0,57.0,53.0
12432326477,랑방 향수 메리미 우먼 오드퍼퓸 EDP,37400,1,75,여성,https://smartstore.naver.com/main/products/2219997206,4.74,1978.0,67.0,54.0
83839344207,버버리 향수 위크앤드 우먼 오드퍼퓸 EDP,54000,1,100,여성,https://smartstore.naver.com/main/products/6294841718,4.79,363.0,67.0,50.0
80189051369,버버리 터치 포맨 오드뚜왈렛 EDT,48800,1,100,남성,https://smartstore.naver.com/main/products/2691307622,4.79,5859.0,60.0,53.0
82523683973,미스 디올 EDP 향수  / 미니향수 미니어처향수 휴대용,3500,1,1,여성,https://smartstore.naver.com/main/products/4979163568,4.8,172.0,62.0,54.0
82769713111,떼시스 라튤립 은은한 플로럴 생화향 쇼핑몰 니치향수 오드퍼퓸,10000,1,30,여성,https://smartstore.naver.com/main/products/5225190874,4.75,641.0,59.0,52.0
82840948024,알마프 클럽 드 누잇 인텐스 맨  어벤투스 듀프 대체향수 클론향수,60000,1,105,남성,https://smartstore.naver.com/main/products/5296455773,4.69,335.0,63.0,53.0
86428260663,언더더파고라 향수 디스커버리 트라이얼 향수,3500,1,2,여성,https://smartstore.naver.com/main/products/8883760340,4.76,716.0,62.0,52.0
87608350139,912 클론 니치향수 블랙베리 앤 베이 EDP  지속력좋은 여자 향수 은은한 우디 프루티 승무원 살냄새 명품 타입,12900,1,40,여성,https://smartstore.naver.com/main/products/10063847515,4.83,818.0,75.0,68.0
