productId,제목,가격,개수,용량(ml),타겟,URL
81047014920,존바바토스 향수 아티산 퓨어 오드뚜왈렛 EDT,37900,1,75,남성,https://smartstore.naver.com/main/products/3502497724
82659293460,유쏘풀 니치향수  세인트모리츠 은은한 20대여성향수,58000,1,50,여성,https://smartstore.naver.com/main/products/5114773138
80040305950,르빠 로 겐조 뿌르옴므 오드뚜왈렛 EDT,48900,1,100,남성,https://smartstore.naver.com/main/products/2542562420
89275498202,알파무드 알파메일 옴므 퍼퓸 리치앤위스키,39100,1,50,남성,https://smartstore.naver.com/main/products/11730987703
83855047296,입생로랑 향수 몽파리 오드 빠르펭 EDP,189000,1,90,여성,https://smartstore.naver.com/main/products/6310544807
11597138751,몽블랑 향수 레전드 오드뚜왈렛 EDT,49800,1,100,남성,https://smartstore.naver.com/main/products/2002276471
84645611777,포 허 오 드 퍼퓸 퓨어 머스크 (/50ml),84000,1,30,여성,https://smartstore.naver.com/main/products/7101111455
86242777501, 블루 드 샤넬 오드 빠르펭 퍼퓸 향수,200800,1,100,남성,https://smartstore.naver.com/main/products/8698277178
85404055588,메종마르지엘라 레플리카 재즈 클럽 EDT,126500,1,100,공용,https://smartstore.naver.com/main/products/7859555265
89333061478,포맨트 시그니처 퍼퓸 헬로키티 에디션 코튼메모리 코튼허그,35900,1,50,여성,https://smartstore.naver.com/main/products/11788550891
85456826569,톰포드 블랙 오키드 오드퍼퓸 EDP,149800,1,50,여성,https://smartstore.naver.com/main/products/7912326246
83739418380,뭉클 블랑쉬 니치 향수 비누향,11900,1,30,여성,https://smartstore.naver.com/main/products/6194918803
84655752044,캘빈클라인 CK BE 향수 오드뚜왈렛 EDT,27400,1,100,공용,https://smartstore.naver.com/main/products/7111251722
82565345041,딥디크 도손 오드뚜왈렛,196900,1,100,공용,https://smartstore.naver.com/main/products/5020824192
83434617187, 톰포드 오드 우드 오드퍼퓸,250000,1,50,공용,https://smartstore.naver.com/main/products/5890117773
86042739335, 디올 소바쥬 오 드 뚜왈렛 향수,114000,1,60,남성,https://smartstore.naver.com/main/products/8498239012
83990575973,에르메스 향수 트윌리 데르메스 오 프와브레 오드퍼퓸 EDP,86900,1,50,여성,https://smartstore.naver.com/main/products/6446075640
12432326477,랑방 향수 메리미 우먼 오드퍼퓸 EDP,37400,1,75,여성,https://smartstore.naver.com/main/products/2219997206
83839344207,버버리 향수 위크앤드 우먼 오드퍼퓸 EDP,54000,1,100,여성,https://smartstore.naver.com/main/products/6294841718
80189051369,버버리 터치 포맨 오드뚜왈렛 EDT,48800,1,100,남성,https://smartstore.naver.com/main/products/2691307622
82523683973,미스 디올 EDP 향수  / 미니향수 미니어처향수 휴대용,3500,1,1,여성,https://smartstore.naver.com/main/products/4979163568
82769713111,떼시스 라튤립 은은한 플로럴 생화향 쇼핑몰 니치향수 오드퍼퓸,10000,1,30,여성,https://smartstore.naver.com/main/products/5225190874
82840948024,알마프 클럽 드 누잇 인텐스 맨  어벤투스 듀프 대체향수 클론향수,60000,1,105,남성,https://smartstore.naver.com/main/products/5296455773
86428260663,언더더파고라 향수 디스커버리 트라이얼 향수,3500,1,2,여성,https://smartstore.naver.com/main/products/8883760340
