개수,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%),총 용량,타겟_공용,타겟_남성,100ml당 가격
1,4.84,19,85,58,50,0.0,0.0,171800
1,4.84,115,71,59,30,0.0,0.0,116666
1,4.82,134,77,65,75,0.0,0.0,132666
1,4.78,404,71,56,5,0.0,0.0,551000
1,4.75,4,50,75,100,0.0,0.0,169200
1,4.88,496,73,52,75,0.0,1.0,52533
1,4.63,8,63,75,35,0.0,0.0,388285
1,5.0,6,50,50,100,0.0,0.0,170800
1,5.0,60,80,57,30,0.0,0.0,830000
1,4.83,118,69,53,125,0.0,1.0,41200
1,4.75,444,65,51,100,0.0,1.0,43500
1,4.59,462,54,56,30,0.0,0.0,33333
1,4.72,180,63,51,5,0.0,0.0,340000
1,4.85,40,58,63,30,0.0,0.0,116333
1,4.67,15,54,60,10,0.0,0.0,1299000
1,4.76,415,64,55,100,0.0,1.0,77000
1,4.67,6,67,50,50,0.0,0.0,66000
1,4.89,101,82,66,50,0.0,1.0,309800
1,4.78,427,67,56,60,0.0,0.0,65000
1,4.79,4894,64,54,125,0.0,1.0,41200
1,4.82,383,69,49,60,0.0,0.0,66333
1,5.0,1,100,100,30,0.0,1.0,186666
1,4.83,167,70,53,100,0.0,1.0,97400
1,5.0,9,56,67,100,0.0,1.0,122800
1,4.89,312,76,55,60,1.0,0.0,63166
1,4.83,70,80,65,35,0.0,0.0,73714
1,5.0,5,80,40,30,1.0,0.0,533333
1,5.0,7,100,86,75,1.0,0.0,211293
1,4.87,160,79,62,100,0.0,1.0,58500
1,4.95,240,75,50,50,1.0,0.0,103800
1,4.74,6313,60,58,30,0.0,0.0,89666
1,4.91,34,74,65,100,0.0,0.0,156900
1,4.84,528,70,54,100,0.0,0.0,138900
1,4.8,54,58,52,5,0.0,1.0,740000
1,4.88,223,82,45,14,1.0,0.0,327142
1,4.86,320,75,51,50,1.0,0.0,194000
1,4.75,320,70,56,100,0.0,0.0,52500
1,4.91,127,81,63,100,0.0,1.0,116400
1,4.81,1289,68,53,50,0.0,0.0,275500
1,4.61,4422,56,48,50,0.0,1.0,79600
1,4.81,94,70,55,5,0.0,0.0,840000
1,4.83,63,75,53,100,0.0,0.0,152900
1,4.82,378,72,58,10,1.0,0.0,380000
1,4.92,994,87,83,5,0.0,0.0,70000
1,4.78,5149,55,54,3,0.0,0.0,66666
1,4.69,16,75,50,50,0.0,0.0,174420
1,4.77,503,79,66,50,0.0,0.0,116000
1,4.93,300,80,62,100,0.0,1.0,72900
1,4.71,49,54,56,10,1.0,0.0,99000
1,4.66,2406,60,57,50,0.0,1.0,107600
1,4.73,2089,52,52,3,0.0,0.0,86666
1,4.75,8,75,75,50,0.0,1.0,290700
1,4.84,50,68,62,30,0.0,0.0,246333
1,4.79,24,80,55,75,0.0,0.0,213600
1,5.0,3,100,100,125,0.0,1.0,27840
1,4.79,28,65,58,125,0.0,1.0,59120
1,4.69,49,70,56,110,0.0,1.0,51363
1,5.0,1,100,100,100,0.0,0.0,115000
1,4.88,3577,70,53,11,1.0,0.0,381818
1,4.79,19,79,69,100,0.0,0.0,195800
1,4.69,14079,51,58,5,0.0,0.0,70000
1,4.88,208,80,55,100,0.0,0.0,46800
1,5.0,2,100,100,75,1.0,0.0,207733
1,4.74,1917,51,57,5,0.0,0.0,70000
1,4.87,521,73,49,11,1.0,0.0,381818
1,5.0,13,85,77,20,0.0,0.0,324500
1,4.86,111,62,60,60,1.0,0.0,16666
1,4.77,971,69,51,50,1.0,0.0,138000
1,4.77,133,76,50,30,0.0,0.0,46333
1,5.0,7,100,100,50,0.0,0.0,438900
1,4.88,8,63,63,5,0.0,0.0,496000
1,4.89,9,56,56,40,0.0,0.0,101250
1,4.86,7,58,58,10,0.0,0.0,589000
1,4.73,139,68,54,100,0.0,0.0,59000
3,4.85,429,79,65,300,0.0,1.0,23000
1,5.0,8,100,75,10,1.0,0.0,890000
1,4.92,51,81,42,75,1.0,0.0,209333
1,4.87,94,77,49,50,0.0,0.0,343900
1,4.8,20,70,60,7,0.0,0.0,400000
1,4.8,88,68,47,30,0.0,0.0,162666
1,5.0,11,64,64,40,0.0,0.0,99750
1,4.79,14,72,58,100,0.0,0.0,47800
1,5.0,3,100,100,100,0.0,0.0,162200
